Fruit,Vitamins,Cals,Benefits,Glycemic Load per cup,Link
Apple,"Fiber, Vitamin C",65 calories/cup,"Eyes, Skin, Digestion, Teeth",3,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1809/2
Apricot,"Fiber, Potassium, Vitamin A, C",79 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",6,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1827/2
Avocado,"Fiber, Vitamin K, Folate",384 calories/cup,"Skin, Digestion",4,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1844/2
Banana,"Fiber, Vitamin C, B6, Potassium, Manganese",200 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",18,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1846/2
Blackberry,"Vitamin E, C, K, Folate, Magnesium, Potassium and Copper, Fiber, Manganese",62 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",4,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1848/2
Blackcurrant,"Iron, Potassium, Vitamin C, Manganese",71 calories/cup,"Eyes, Skin, Blood Pressure, Teeth",7,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1878/2
Blueberry,"Fiber, Vitamin C, K, Manganese",84 calories/cup,"Eyes, Skin, Digestion, Teeth",6,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1851/2
Currant,"Potassium, Manganese, Fiber, Vitamin C, K",63 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",4,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1879/2
Cherry,"Fiber, Vitamin C",87 calories/cup,"Eyes, Skin, Digestion, Teeth",7,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1867/2
Cherimoya,"Fiber, Vitamin B6, C, Potassium",231 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",20,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1860/2
Coconut,Manganese,80 calories/cup,Skin,1,http://nutritiondata.self.com/facts/nut-and-seed-products/3106/2
Cranberry,"Vitamin E, K, C, Fiber, Manganese",110 calories/cup,"Eyes, Skin, Digestion, Teeth",2,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1875/2
Cucumber,"Vitamin A, C, K, Pantothenic Acid, Magnesium, Phosphorus, Manganese, Potassium",16 calories/cup,"Eyes, Skin, Blood Pressure, Teeth",1,http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2439/2
Date,,414 calories/cup,,39,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/7348/2
Dragonfruit,"Vitamin C, B1",90 calories/cup,"Eyes, Skin, Teeth",,
Durian,"Fiber, Thiamin, Vitamin B6, C, Manganese",357 calories/cup,"Eyes, Skin, Digestion, Teeth, Immunity",24,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2088/2
Fig,Fiber,279 calories/cup,"Skin, Digestion",15,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1884/2
